date,category,amount,description
2024-01-03,Groceries,87.42,Trader Joe's
2024-01-05,Dining,34.20,Sweetgreen
2024-01-06,Transport,2.50,SEPTA
2024-01-09,Groceries,124.18,Whole Foods
2024-01-12,Entertainment,15.99,Netflix
2024-01-14,Dining,52.30,Sushi place
2024-01-18,Transport,18.75,Uber
2024-01-22,Groceries,93.55,Wegmans
2024-01-25,Dining,41.80,Italian
2024-01-28,Entertainment,12.99,Spotify
2024-02-02,Groceries,156.40,Costco
2024-02-04,Dining,28.65,Coffee shop
2024-02-07,Transport,4.50,SEPTA
2024-02-10,Entertainment,15.99,Netflix
2024-02-13,Groceries,68.92,Trader Joe's
2024-02-16,Dining,73.40,Date night
2024-02-19,Transport,22.30,Uber
2024-02-22,Groceries,104.55,Whole Foods
2024-02-25,Dining,38.20,Pizza
2024-02-28,Entertainment,12.99,Spotify
2024-03-01,Groceries,142.18,Costco
2024-03-04,Dining,31.50,Lunch
2024-03-07,Transport,8.75,Train
2024-03-10,Entertainment,15.99,Netflix
2024-03-13,Groceries,76.40,Wegmans
2024-03-16,Dining,89.20,Birthday dinner
2024-03-19,Transport,15.20,Uber
2024-03-22,Groceries,98.30,Trader Joe's
2024-03-25,Dining,44.75,Brunch
2024-03-28,Entertainment,12.99,Spotify
